ccgcode,indicator_group,Register_description,disease_register_size,ccg_listsize,prevalence
00C,AF,Atrial Fibrillation,1880,106303,1.7685295805
00C,AST,Asthma,6415,106303,6.03463684
00C,CAN,Cancer,2272,106303,2.1372868122
00C,CHD,Coronary Heart Disease,4269,106303,4.0158791379
00C,CKD,Chronic Kidney Disease,2421,106303,2.2774521886
00C,COPD,Chronic Obstructive Pulmonary Disease,2705,106303,2.5446130401
00C,CVDPP,Cardiovascular Disease - Primary Prevention,2629,106303,2.4731192911
00C,DEM,Dementia,977,106303,0.9190709575
00C,DEP,Depression,6214,106303,5.845554688
00C,DM,Diabetes,5797,106303,5.4532797757
00C,EP,Epilepsy,823,106303,0.7742020451
00C,HF,Heart Failure,1034,106303,0.9726912693
00C,HF,Heart Failure due to LVD,527,106303,0.4957527069
00C,HYP,Hypertension,15983,106303,15.035323556
00C,LD,Learning  Disabilities,559,106303,0.525855338
00C,MH,Mental Health,1064,106303,1.000912486
00C,OB,Obesity,11080,106303,10.423036038
00C,OST,Osteoporosis,212,106303,0.1994299314
00C,PAD,Peripheral Atrial Disease,1034,106303,0.9726912693
00C,PC,Palliative Care,528,106303,0.4966934141
00C,RA,Rheumatoid Arthritis,690,106303,0.6490879843
00C,SMOK,Smoking Indicators,27196,106303,25.583473655
00C,STIA,Stroke,2213,106303,2.081785086
00C,THY,Thyroid,3572,106303,3.360206203
00D,AF,Atrial Fibrillation,5311,287987,1.8441804665
00D,AST,Asthma,18616,287987,6.4641806748
00D,CAN,Cancer,6734,287987,2.3382999927
00D,CHD,Coronary Heart Disease,15123,287987,5.2512787036
00D,CKD,Chronic Kidney Disease,9810,287987,3.4064037613
00D,COPD,Chronic Obstructive Pulmonary Disease,9147,287987,3.1761850361
00D,CVDPP,Cardiovascular Disease - Primary Prevention,10006,287987,3.4744623889
00D,DEM,Dementia,2408,287987,0.8361488539
00D,DEP,Depression,18019,287987,6.2568796508
00D,DM,Diabetes,16894,287987,5.8662370176
