BNFcode,BNFname,NIC,Quantity,NICperDose,HighCost,Note
0205052ADAAAAAA,Azilsartan Medoxomil_Tab 20mg           ,453.6,756,£0.60,1,
0205052ADAAABAB,Azilsartan Medoxomil_Tab 40mg           ,1599,2665,£0.60,1,
0205052ADAAACAC,Azilsartan Medoxomil_Tab 80mg           ,798,1120,£0.71,1,
0205052ADBBAAAA,Edarbi_Tab 20mg                         ,16.8,28,£0.60,1,
0205052ADBBABAB,Edarbi_Tab 40mg                         ,100.8,168,£0.60,1,
0205052ADBBACAC,Edarbi_Tab 80mg                         ,79.8,112,£0.71,1,
0205052B0AAAAAA,Olmesartan Medoxomil_Tab 10mg           ,646427.11,1652940,£0.39,1,
0205052B0AAABAB,Olmesartan Medoxomil_Tab 20mg           ,888491.57,1921037,£0.46,1,
0205052B0AAACAC,Olmesartan Medoxomil_Tab 40mg           ,591548.3,946455,£0.63,1,
0205052B0BBAAAA,Olmetec_Tab 10mg                        ,16831.95,43040,£0.39,1,
0205052B0BBABAB,Olmetec_Tab 20mg                        ,22724.27,49133,£0.46,1,
0205052B0BBACAC,Olmetec_Tab 40mg                        ,11657.71,18652,£0.63,1,
0205052C0AAAAAA,Candesartan Cilexetil_Tab 2mg           ,813704.57,3449819,£0.24,0,
0205052C0AAABAB,Candesartan Cilexetil_Tab 4mg           ,1523261.95,12388618,£0.12,0,
0205052C0AAACAC,Candesartan Cilexetil_Tab 8mg           ,881326.59,17593775,£0.05,0,
0205052C0AAADAD,Candesartan Cilexetil_Tab 16mg          ,873255.26,14512703,£0.06,0,
0205052C0AAAHAH,Candesartan Cilexetil_Tab 32mg          ,514297.82,5810554,£0.09,0,
0205052C0BBAAAA,Amias_Tab 2mg                           ,14457.06,28268,£0.51,1,"This breaks the 3x rule comparing amias 2mg vs candesartan cilexetil 2mg (51p vs 24p), however that is justifiable on the basis of the 3x rule being met on all other doses comparing those products."
0205052C0BBABAB,Amias_Tab 4mg                           ,49935.24,138261,£0.36,1,
0205052C0BBACAC,Amias_Tab 8mg                           ,71851.81,203424,£0.35,1,
0205052C0BBADAD,Amias_Tab 16mg                          ,66499.99,146384,£0.45,1,
0205052C0BBAEAH,Amias_Tab 32mg                          ,31435.29,54569,£0.58,1,
0205052I0AAAAAA,Irbesartan_Tab 75mg                     ,168734.99,3277351,£0.05,0,
0205052I0AAABAB,Irbesartan_Tab 150mg                    ,439644.85,7189306,£0.06,0,
0205052I0AAACAC,Irbesartan_Tab 300mg                    ,598349.34,7116998,£0.08,0,
0205052I0BBAAAA,Aprovel_Tab 75mg                        ,18036.06,52117,£0.35,1,
0205052I0BBABAB,Aprovel_Tab 150mg                       ,51449.87,121672,£0.42,1,
0205052I0BBACAC,Aprovel_Tab 300mg                       ,58478.29,102787,£0.57,1,
0205052N0AAAAAA,Losartan Pot_Tab 25mg                   ,574766.46,13371519,£0.04,0,
0205052N0AAABAB,Losartan Pot_Tab 50mg                   ,1369444.32,30288768,£0.05,0,
0205052N0AAADAD,Losartan Pot_Tab 100mg                  ,1460475.06,27447146,£0.05,0,
0205052N0AAAHAH,Losartan Pot_Tab 12.5mg                 ,247880.64,1346493,£0.18,0,
0205052N0BBAAAA,Cozaar_Tab 25mg                         ,27217.78,47101,£0.58,1,
0205052N0BBABAB,Cozaar_Tab 50mg                         ,71263.99,155890,£0.46,1,
0205052N0BBACAD,Cozaar_Tab 100mg                        ,90222.17,156130,£0.58,1,
0205052N0BBADAH,Cozaar_Tab 12.5mg                       ,1415.75,4900,£0.29,1,
0205052Q0AAAAAA,Telmisartan_Tab 40mg                    ,72768.87,1339844,£0.05,0,
0205052Q0AAABAB,Telmisartan_Tab 80mg                    ,84503.92,1297899,£0.07,0,
0205052Q0AAACAC,Telmisartan_Tab 20mg                    ,30376.51,581479,£0.05,0,
0205052Q0BBAAAA,Micardis_Tab 40mg                       ,17758.1,36534,£0.49,1,
0205052Q0BBABAB,Micardis_Tab 80mg                       ,14829.46,24425,£0.61,1,
0205052Q0BBACAC,Micardis_Tab 20mg                       ,6683.14,16858,£0.40,1,
0205052Q0BCACAC,Tolura_Tab 20mg                         ,15.06,38,£0.40,1,
0205052V0AAAAAA,Valsartan_Cap 40mg                      ,241528.11,771861,£0.31,0,?
0205052V0AAABAB,Valsartan_Cap 80mg                      ,927304.16,2324116,£0.40,0,?
0205052V0AAACAC,Valsartan_Cap 160mg                     ,751053.05,1774873,£0.42,0,?
0205052V0AAADAD,Valsartan_Tab 40mg                      ,43260.82,101841,£0.42,0,?
0205052V0AAAFAF,Valsartan_Tab 320mg                     ,92786.47,160783,£0.58,0,?
0205052V0AAAHAH,Valsartan_Tab 160mg                     ,131.24,308,£0.43,0,?
0205052V0AAAIAI,Valsartan_Tab 80mg                      ,93.63,406,£0.23,0,?
0205052V0BBAAAA,Diovan_Cap 40mg                         ,642.62,1288,£0.50,1,?
0205052V0BBABAB,Diovan_Cap 80mg                         ,8175.91,16387,£0.50,1,?
0205052V0BBACAC,Diovan_Cap 160mg                        ,11118.89,16911,£0.66,1,?
0205052V0BBAEAF,Diovan_Tab 320mg                        ,323.68,448,£0.72,1,?
0205052W0AAAAAA,Eprosartan_Tab 300mg                    ,66470.53,254596,£0.26,1,
0205052W0AAABAB,Eprosartan_Tab 400mg                    ,57675.98,125521,£0.46,1,
0205052W0AAACAC,Eprosartan_Tab 600mg                    ,279447.84,546779,£0.51,1,
0205052W0BBAAAA,Teveten_Tab 300mg                       ,2225.66,8525,£0.26,1,
0205052W0BBABAB,Teveten_Tab 400mg                       ,7.85,28,£0.28,1,
0205052W0BBACAC,Teveten_Tab 600mg                       ,6860,13423,£0.51,1,
