BNFcode,BNFname,NIC,Quantity,NICperDose,HighCost,notes
0103050E0AAAAAA,Esomeprazole_Tab E/C 20mg               ,622806.8,4789964,å£0.13,0,
0103050E0AAABAB,Esomeprazole_Tab E/C 40mg               ,749677.26,4875347,å£0.15,0,
0103050E0AAAFAF,Esomeprazole_Cap E/C 20mg               ,143715.59,1181768,å£0.12,0,
0103050E0AAAGAG,Esomeprazole_Cap E/C 40mg               ,181720.66,1284406,å£0.14,0,
0103050E0BCAAAF,Emozul_Cap E/C 20mg                     ,31620.51,260404,å£0.12,0,
0103050E0BCABAG,Emozul_Cap E/C 40mg                     ,37896.76,267957,å£0.14,0,
0103050L0AAAAAA,Lansoprazole_Cap 30mg (E/C Gran)        ,5852325.67,106307705,å£0.06,0,
0103050L0AAABAB,Lansoprazole_Cap 15mg (E/C Gran)        ,2826919.64,67643478,å£0.04,0,
0103050L0AAAGAG,Lansoprazole_Orodisper Tab 15mg         ,250652.76,2241076,å£0.11,0,
0103050L0AAAHAH,Lansoprazole_Orodisper Tab 30mg         ,886857.61,4573226,å£0.19,0,
0103050L0BBADAG,Zoton_FasTab Tab 15mg                   ,39605.98,370876,å£0.11,0,
0103050L0BBAEAH,Zoton_FasTab Tab 30mg                   ,145017.74,738237,å£0.20,0,
0103050P0AAAAAA,Omeprazole_Cap E/C 20mg                 ,10690570.69,241207638,å£0.04,0,
0103050P0AAAEAE,Omeprazole_Cap E/C 40mg                 ,1088589.36,6798527,å£0.16,0,
0103050P0AAAFAF,Omeprazole_Cap E/C 10mg                 ,866587.86,19398755,å£0.04,0,
0103050P0BFAAAF,Mepradec_Cap E/C 10mg                   ,9888.87,245054,å£0.04,0,
0103050P0BFABAA,Mepradec_Cap E/C 20mg                   ,82543.2,2063580,å£0.04,0,
0103050R0AAAAAA,Pantoprazole_Tab E/C 40mg               ,282852.6,5104724,å£0.06,0,
0103050R0AAABAB,Pantoprazole_Tab E/C 20mg               ,205939.64,4802705,å£0.04,0,
0103050T0AAAAAA,Rabeprazole Sod_Tab E/C 10mg            ,85532.97,1030210,å£0.08,0,
0103050T0AAABAB,Rabeprazole Sod_Tab E/C 20mg            ,238894.77,2360221,å£0.10,0,
0103050E0BBAAAA,Nexium_Tab 20mg                         ,329293.12,498389,å£0.66,1,
0103050E0BBABAB,Nexium_Tab 40mg                         ,308795.11,343240,å£0.90,1,
0103050E0BBAEAA,Nexium_Tab 20mg (Arrow Generics Ltd)    ,14.3,56,å£0.26,1,
0103050E0BBAFAB,Nexium_Tab 40mg (Arrow Generics Ltd)    ,9.19,28,å£0.33,1,doesnt quite meet 3x rule (as per amias 2mg) but other doses do so reasonable exception.
0103050E0BBAGAA,Nexium Control_Tab 20mg                 ,209.72,392,å£0.54,1,
0103050L0BBAAAA,Zoton_Cap 30mg (E/C Gran)               ,212.67,252,å£0.84,1,
0103050P0AAAMAM,Omeprazole_Tab Disper 10mg (E/C Pellets),150620.28,544164,å£0.28,1,?
0103050P0AAANAN,Omeprazole_Tab Disper 20mg (E/C Pellets),691369.16,1668823,å£0.41,1,?
0103050P0AAAPAP,Omeprazole_Tab Disper 40mg (E/C Pellets),138833.86,167558,å£0.83,1,?
0103050P0AABCBC,Omeprazole_Tab E/C 10mg                 ,61736.87,218495,å£0.28,1,
0103050P0AABDBD,Omeprazole_Tab E/C 20mg                 ,417439.24,1944649,å£0.21,1,
0103050P0AABEBE,Omeprazole_Tab E/C 40mg                 ,170803.68,231712,å£0.74,1,
0103050P0BBAAAA,Losec_Cap E/C 20mg                      ,377181.48,758700,å£0.50,1,
0103050P0BBABAE,Losec_Cap E/C 40mg                      ,43915.61,44168,å£0.99,1,
0103050P0BBACAF,Losec_Cap E/C 10mg                      ,35485.73,106838,å£0.33,1,
0103050P0BBADAM,Losec MUPS_Tab Disper 10mg (E/C Pellets),40266.77,145477,å£0.28,1,
0103050P0BBAEAN,Losec MUPS_Tab Disper 20mg (E/C Pellets),104003.18,251042,å£0.41,1,
0103050P0BBAFAP,Losec MUPS_Tab Disper 40mg (E/C Pellets),17466.27,21080,å£0.83,1,
0103050P0BDABBD,Omeran_Tab G/R 20mg                     ,85.2,168,å£0.51,1,
0103050P0BEAABC,Zanprol_Tab G/R 10mg                    ,12.02,28,å£0.43,1,
0103050P0BGAAAM,Mezzopram_Tab Disper 10mg (E/C Pellets) ,46.06,196,å£0.24,1,?
0103050P0BGABAN,Mezzopram_Tab Disper 20mg (E/C Pellets) ,369.81,1050,å£0.35,1,?
0103050P0BGACAP,Mezzopram_Tab Disper 40mg (E/C Pellets) ,98.6,140,å£0.70,1,?
0103050R0BBAAAA,Protium_Tab E/C 40mg                    ,174.85,238,å£0.73,1,
0103050R0BBABAB,Protium_Tab E/C 20mg                    ,106.47,252,å£0.42,1,
0103050R0BCAAAB,Pantoloc Control_Tab E/C 20mg           ,432.49,854,å£0.51,1,
0103050T0BBAAAA,Pariet_Tab E/C 10mg                     ,16140.65,78189,å£0.21,1,
0103050T0BBABAB,Pariet_Tab E/C 20mg                     ,61969.71,153010,å£0.41,1,
